,Jac_modA,Jac_modB,Jac_modC,Jac_ensamble,DSC_modA,DSC_modB,DSC_modC,DSC_ensamble,placa
78.png,0.7429,0.8971,0.9164,0.904,0.8525,0.9458,0.9564,0.9496,1
45.png,0.6445,0.9244,0.9395,0.9277,0.7838,0.9607,0.9688,0.9625,1
237.png,0.5698,0.6705,0.7859,0.7255,0.726,0.8028,0.8801,0.8409,1
83.png,0.5093,0.8108,0.7153,0.8002,0.6747,0.8955,0.834,0.889,1
96.png,0.152,0.7943,0.8608,0.8125,0.2639,0.8854,0.9252,0.8965,1
259.png,0.5778,0.8107,0.8424,0.832,0.7324,0.8955,0.9145,0.9083,1
47.png,0.6858,0.5926,0.8938,0.7206,0.8136,0.7442,0.9439,0.8376,1
25.png,0.546,0.1903,0.8039,0.5577,0.7064,0.3198,0.8913,0.7161,1
91.png,0.5778,0.9021,0.8542,0.8901,0.7324,0.9485,0.9214,0.9419,1
106.png,0.0548,0.2734,0.0003,0.0762,0.1038,0.4293,0.0003,0.1413,1
102.png,0.7457,0.6526,0.8891,0.8211,0.8543,0.7898,0.9413,0.9018,1
56.png,0.0006,0.8716,0.0093,0.0284,0.0009,0.9314,0.0183,0.0549,1
110.png,0.5094,0.2559,0.6543,0.6517,0.6749,0.4075,0.791,0.7891,1
146.png,0.4668,0.5433,0.5485,0.5608,0.6364,0.704,0.7084,0.7186,1
80.png,0.5222,0.215,0.8583,0.5905,0.6861,0.3538,0.9237,0.7426,1
207.png,0.4829,0.0016,0.0374,0.0376,0.651,0.0016,0.0706,0.0711,1
206.png,0.7031,0.0004,0.4322,0.4345,0.8257,0.0004,0.6034,0.6057,1
217.png,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,1
239.png,0.6527,0.8975,0.8316,0.8598,0.7898,0.946,0.908,0.9246,1
233.png,0.1276,0.8532,0.8136,0.8618,0.2262,0.9208,0.8972,0.9258,1
169.png,0.3588,0.8159,0.8104,0.8075,0.5281,0.8986,0.8953,0.8935,1
175.png,0.5923,0.6967,0.7916,0.7506,0.7439,0.8212,0.8837,0.8576,1
135.png,0.7701,0.5593,0.8527,0.7854,0.8701,0.7174,0.9205,0.8798,1
111.png,0.8219,0.7287,0.8219,0.8321,0.9022,0.843,0.9022,0.9084,1
113.png,0.6658,0.8771,0.7492,0.8605,0.7993,0.9345,0.8566,0.925,1
126.png,0.6782,0.9053,0.814,0.9115,0.8082,0.9503,0.8974,0.9537,1
253.png,0.4621,0.6762,0.529,0.5335,0.6321,0.8068,0.6919,0.6958,1
15.png,0.2889,0.7867,0.1919,0.3235,0.4482,0.8806,0.3219,0.4888,1
137.png,0.2753,0.4401,0.5719,0.5033,0.4317,0.6111,0.7276,0.6696,1
2.png,0.4689,0.8876,0.9041,0.9078,0.6384,0.9404,0.9496,0.9516,1
180.png,0.4479,0.5269,0.6459,0.5607,0.6187,0.6902,0.7849,0.7185,1
151.png,0.3531,0.8473,0.8402,0.8338,0.5219,0.9173,0.9132,0.9094,1
213.png,0.1973,0.0004,0.0032,0.0004,0.3293,0.0004,0.006,0.0004,1
166.png,0.2766,0.8813,0.5131,0.5642,0.4333,0.9369,0.6782,0.7214,1
248.png,0.7215,0.8984,0.5147,0.7971,0.8382,0.9465,0.6796,0.8871,1
188.png,0.4119,0.8707,0.3709,0.4726,0.5835,0.9309,0.5411,0.6419,1
150.png,0.7466,0.5808,0.606,0.6903,0.8549,0.7348,0.7546,0.8168,1
211.png,0.1663,0.2701,0.6066,0.287,0.2849,0.4252,0.7551,0.4459,1
174.png,0.7626,0.9113,0.8646,0.9068,0.8653,0.9536,0.9274,0.9511,1
127.png,0.8149,0.8798,0.8701,0.8653,0.898,0.9361,0.9305,0.9278,1
161.png,0.526,0.514,0.8265,0.6337,0.6894,0.679,0.905,0.7758,1
235.png,0.7022,0.8084,0.6819,0.8132,0.825,0.8941,0.8109,0.8969,1
214.png,0.0016,0.0023,0.0007,0.0022,0.0016,0.0023,0.0007,0.0022,1
147.png,0.7098,0.88,0.9348,0.883,0.8303,0.9362,0.9663,0.9379,1
104.png,0.5541,0.8784,0.8619,0.8754,0.713,0.9353,0.9258,0.9335,1
152.png,0.2269,0.1991,0.6918,0.2383,0.3699,0.332,0.8178,0.3849,1
192.png,0.3406,0.75,0.7504,0.7566,0.5081,0.8571,0.8574,0.8614,1
19.png,0.5088,0.8754,0.8722,0.8958,0.6744,0.9336,0.9317,0.945,1
244.png,0.7456,0.8416,0.9037,0.8665,0.8543,0.914,0.9494,0.9285,1
23.png,0.6971,0.8704,0.7151,0.8274,0.8215,0.9307,0.8339,0.9056,1
212.png,0.3815,0.1776,0.3801,0.2064,0.5521,0.3013,0.5507,0.3419,1
183.png,0.2431,0.5603,0.6881,0.5427,0.3911,0.7182,0.8153,0.7036,1
105.png,0.5389,0.8498,0.723,0.7913,0.7004,0.9188,0.8392,0.8835,1
142.png,0.4655,0.7384,0.8223,0.8415,0.6352,0.8495,0.9025,0.9139,1
140.png,0.5,0.808,0.3917,0.6026,0.6666,0.8938,0.5629,0.752,1
186.png,0.6876,0.9,0.8486,0.8711,0.8149,0.9474,0.9181,0.9311,1
13.png,0.4416,0.8135,0.448,0.5283,0.6126,0.8972,0.6188,0.6913,1
