,pred_modA,pred_modB,pred_modC,pred_ensamble
201.png,1248.0,0.0,0.0,0.0
203.png,565.0,0.0,31.0,0.0
204.png,864.0,1122.0,550.0,495.0
200.png,434.0,0.0,9.0,0.0
202.png,692.0,0.0,0.0,0.0
231.png,3164.0,0.0,766.0,0.0
223.png,59.0,0.0,0.0,0.0
229.png,0.0,0.0,0.0,0.0
193.png,0.0,0.0,6.0,0.0
196.png,609.0,0.0,339.0,0.0
228.png,0.0,0.0,0.0,0.0
230.png,318.0,98.0,0.0,0.0
222.png,0.0,0.0,51.0,0.0
225.png,248.0,0.0,0.0,0.0
198.png,0.0,0.0,140.0,0.0
220.png,70.0,0.0,0.0,0.0
226.png,0.0,0.0,0.0,0.0
199.png,304.0,0.0,1.0,0.0
221.png,623.0,0.0,0.0,0.0
227.png,12.0,0.0,0.0,0.0
205.png,158.0,0.0,3267.0,0.0
197.png,0.0,0.0,2.0,0.0
194.png,2432.0,0.0,1533.0,682.0
195.png,2039.0,0.0,0.0,0.0
224.png,188.0,0.0,10.0,0.0
352.png,633.0,0.0,359.0,0.0
353.png,4.0,0.0,0.0,0.0
354.png,186.0,0.0,5.0,0.0
355.png,1.0,0.0,740.0,1.0
357.png,2.0,25.0,9.0,0.0
358.png,25.0,0.0,0.0,0.0
356.png,1587.0,0.0,0.0,0.0
359.png,467.0,0.0,177.0,0.0
362.png,222.0,0.0,151.0,0.0
360.png,1871.0,0.0,46.0,0.0
363.png,136.0,0.0,3.0,0.0
364.png,0.0,0.0,12.0,0.0
361.png,96.0,0.0,51.0,0.0
366.png,78.0,0.0,0.0,0.0
369.png,0.0,0.0,1137.0,0.0
367.png,328.0,0.0,0.0,0.0
368.png,1105.0,0.0,0.0,0.0
370.png,132.0,0.0,457.0,0.0
365.png,3808.0,0.0,13.0,0.0
373.png,57.0,0.0,0.0,0.0
372.png,1.0,0.0,2.0,0.0
375.png,83.0,0.0,0.0,0.0
376.png,0.0,0.0,2283.0,0.0
371.png,1955.0,0.0,0.0,0.0
374.png,690.0,0.0,1132.0,0.0
377.png,786.0,297.0,0.0,0.0
378.png,6085.0,4039.0,24.0,1330.0
382.png,580.0,0.0,1739.0,98.0
381.png,1970.0,0.0,6785.0,1355.0
380.png,0.0,0.0,0.0,0.0
379.png,650.0,0.0,0.0,0.0
385.png,0.0,0.0,0.0,0.0
386.png,1899.0,0.0,0.0,0.0
383.png,0.0,0.0,0.0,0.0
384.png,0.0,0.0,0.0,0.0
387.png,204.0,0.0,0.0,0.0
388.png,831.0,0.0,0.0,0.0
389.png,0.0,0.0,0.0,0.0
390.png,1477.0,0.0,862.0,0.0
391.png,224.0,0.0,2.0,0.0
392.png,3549.0,0.0,730.0,0.0
393.png,303.0,0.0,280.0,0.0
394.png,2354.0,0.0,845.0,0.0
395.png,17.0,0.0,63.0,15.0
396.png,229.0,0.0,445.0,0.0
397.png,0.0,0.0,0.0,0.0
398.png,1.0,0.0,0.0,0.0
399.png,352.0,0.0,370.0,0.0
400.png,601.0,262.0,2846.0,436.0
402.png,279.0,0.0,6.0,0.0
401.png,716.0,0.0,0.0,0.0
404.png,2142.0,0.0,16.0,0.0
403.png,0.0,8761.0,4.0,0.0
406.png,1176.0,520.0,0.0,193.0
405.png,613.0,0.0,562.0,0.0
407.png,10.0,5250.0,2410.0,1919.0
408.png,944.0,0.0,0.0,0.0
409.png,939.0,0.0,469.0,67.0
410.png,1970.0,0.0,68.0,15.0
411.png,1510.0,0.0,346.0,0.0
412.png,897.0,0.0,1691.0,193.0
413.png,2953.0,1569.0,0.0,0.0
414.png,3042.0,0.0,420.0,182.0
415.png,618.0,0.0,108.0,0.0
416.png,2603.0,3462.0,0.0,2349.0
417.png,317.0,0.0,1134.0,0.0
418.png,3627.0,0.0,275.0,0.0
419.png,970.0,0.0,1062.0,879.0
420.png,1.0,0.0,8.0,0.0
421.png,7.0,0.0,426.0,0.0
422.png,0.0,0.0,568.0,0.0
423.png,1960.0,0.0,17.0,0.0
424.png,0.0,0.0,17.0,0.0
428.png,1782.0,0.0,407.0,82.0
426.png,0.0,0.0,1668.0,0.0
429.png,0.0,0.0,1058.0,0.0
427.png,818.0,0.0,0.0,0.0
425.png,0.0,0.0,135.0,0.0
431.png,2057.0,0.0,0.0,0.0
430.png,0.0,0.0,139.0,0.0
433.png,970.0,0.0,1062.0,879.0
434.png,1074.0,0.0,0.0,0.0
435.png,0.0,0.0,92.0,0.0
432.png,0.0,0.0,0.0,0.0
437.png,3418.0,0.0,0.0,0.0
438.png,974.0,0.0,0.0,0.0
440.png,54.0,0.0,23.0,0.0
439.png,2055.0,0.0,4252.0,1440.0
436.png,900.0,0.0,0.0,0.0
442.png,0.0,0.0,151.0,0.0
445.png,833.0,0.0,8.0,0.0
443.png,0.0,2385.0,6.0,0.0
444.png,1235.0,0.0,4205.0,994.0
441.png,119.0,0.0,0.0,0.0
448.png,892.0,0.0,665.0,0.0
447.png,868.0,0.0,1.0,0.0
451.png,193.0,0.0,1570.0,189.0
446.png,18.0,0.0,7.0,0.0
449.png,0.0,0.0,54.0,0.0
450.png,32.0,0.0,7.0,0.0
453.png,584.0,0.0,3256.0,0.0
452.png,0.0,0.0,0.0,0.0
456.png,0.0,0.0,1686.0,0.0
455.png,0.0,0.0,1168.0,0.0
457.png,96.0,0.0,0.0,0.0
454.png,1.0,0.0,0.0,0.0
460.png,1366.0,0.0,29.0,2.0
463.png,2581.0,0.0,1023.0,0.0
459.png,56.0,894.0,45.0,0.0
458.png,2427.0,0.0,283.0,242.0
461.png,698.0,0.0,3.0,0.0
462.png,1938.0,0.0,0.0,0.0
464.png,251.0,0.0,30.0,0.0
469.png,0.0,0.0,200.0,0.0
465.png,0.0,0.0,0.0,0.0
466.png,2694.0,0.0,3.0,0.0
467.png,2866.0,0.0,1399.0,1158.0
468.png,3021.0,0.0,898.0,52.0
474.png,834.0,0.0,51.0,0.0
470.png,32.0,0.0,2447.0,0.0
473.png,0.0,0.0,0.0,0.0
471.png,1.0,0.0,0.0,0.0
475.png,1.0,0.0,0.0,0.0
472.png,0.0,0.0,0.0,0.0
481.png,300.0,0.0,0.0,0.0
479.png,0.0,0.0,0.0,0.0
480.png,0.0,0.0,4.0,0.0
478.png,3509.0,4926.0,5843.0,3925.0
476.png,1921.0,0.0,12.0,0.0
477.png,1130.0,0.0,0.0,0.0
483.png,851.0,0.0,38.0,3.0
482.png,0.0,0.0,0.0,0.0
485.png,0.0,0.0,0.0,0.0
487.png,1.0,0.0,438.0,0.0
484.png,128.0,0.0,37.0,0.0
486.png,0.0,0.0,0.0,0.0
493.png,924.0,0.0,523.0,0.0
492.png,313.0,0.0,45.0,0.0
488.png,0.0,0.0,89.0,0.0
489.png,941.0,4358.0,3853.0,2990.0
490.png,0.0,0.0,0.0,0.0
491.png,104.0,0.0,358.0,0.0
494.png,428.0,0.0,18.0,0.0
496.png,251.0,0.0,297.0,190.0
495.png,789.0,2593.0,3472.0,228.0
550.png,1025.0,0.0,0.0,0.0
547.png,0.0,0.0,143.0,0.0
551.png,0.0,0.0,0.0,0.0
546.png,0.0,0.0,0.0,0.0
552.png,0.0,0.0,0.0,0.0
548.png,0.0,0.0,0.0,0.0
549.png,0.0,0.0,0.0,0.0
