,Jac_modA,Jac_modB,Jac_modC,Jac_ensamble,DSC_modA,DSC_modB,DSC_modC,DSC_ensamble,placa
78.png,0.7429,0.5616,0.5616,0.5616,0.8525,0.7192,0.7192,0.7192,1
45.png,0.6445,0.5865,0.5865,0.5865,0.7838,0.7394,0.7394,0.7394,1
237.png,0.5698,0.5371,0.5371,0.5371,0.726,0.6988,0.6988,0.6988,1
83.png,0.5093,0.3446,0.3446,0.3446,0.6747,0.5125,0.5125,0.5125,1
96.png,0.152,0.1712,0.1712,0.1712,0.2639,0.2924,0.2924,0.2924,1
259.png,0.5778,0.4271,0.4271,0.4271,0.7324,0.5985,0.5985,0.5985,1
47.png,0.6858,0.604,0.604,0.604,0.8136,0.7531,0.7531,0.7531,1
25.png,0.546,0.4897,0.4897,0.4897,0.7064,0.6575,0.6575,0.6575,1
91.png,0.5778,0.3646,0.3646,0.3646,0.7324,0.5344,0.5344,0.5344,1
106.png,0.0548,0.0686,0.0686,0.0686,0.1038,0.1283,0.1283,0.1283,1
102.png,0.7457,0.6322,0.6322,0.6322,0.8543,0.7747,0.7747,0.7747,1
56.png,0.0006,0.1289,0.1289,0.1289,0.0009,0.2283,0.2283,0.2283,1
110.png,0.5094,0.366,0.366,0.366,0.6749,0.5358,0.5358,0.5358,1
146.png,0.4668,0.3457,0.3457,0.3457,0.6364,0.5138,0.5138,0.5138,1
80.png,0.5222,0.4815,0.4815,0.4815,0.6861,0.65,0.65,0.65,1
207.png,0.4829,0.2435,0.2435,0.2435,0.651,0.3913,0.3913,0.3913,1
206.png,0.7031,0.5552,0.5552,0.5552,0.8257,0.7139,0.7139,0.7139,1
217.png,0.0006,0.0005,0.0005,0.0005,0.0006,0.0005,0.0005,0.0005,1
239.png,0.6527,0.6441,0.6441,0.6441,0.7898,0.7835,0.7835,0.7835,1
233.png,0.1276,0.1565,0.1565,0.1565,0.2262,0.2705,0.2705,0.2705,1
169.png,0.3588,0.3833,0.3833,0.3833,0.5281,0.5542,0.5542,0.5542,1
175.png,0.5923,0.5535,0.5535,0.5535,0.7439,0.7125,0.7125,0.7125,1
135.png,0.7701,0.6253,0.6253,0.6253,0.8701,0.7695,0.7695,0.7695,1
111.png,0.8219,0.5347,0.5347,0.5347,0.9022,0.6968,0.6968,0.6968,1
113.png,0.6658,0.5713,0.5713,0.5713,0.7993,0.7271,0.7271,0.7271,1
126.png,0.6782,0.5217,0.5217,0.5217,0.8082,0.6857,0.6857,0.6857,1
253.png,0.4621,0.4581,0.4581,0.4581,0.6321,0.6284,0.6284,0.6284,1
